produs2,pret
sunca de pui agricola 400g,8.7
salam victoria meda per kg,19.99
"bacon de curcan, feliat espina 100g",8.26
sunca de curcan perutnina pepe 100g,6.5
pasta de ficat familia 150g,2.46
sunca praga caroli per kg,24.9
salam de vara carrefour 500g,8.19
cotlet haiducesc meda per kg,43.9
piept de pui cu piper feliat perutnina slim&fit 100g,6.6
salame milano feliat casa modena 80g,11.6
slaninuta taraneasca traditionala aurora per kg,19.03
"bresaola bio, feliata golfera 80g",26.77
pastrama haiduceasca meda per kg,37
salam peles agricola 300g,11.4
muschi file meda per kg,36.9
salam sinaia agricola 300g,13.8
chorizo picante campofrio 225g,15
sunca de casa fox per kg,26.5
crenvursti cu pasare carrefourt discount 430g,4.75
pachet salam campofrio lunch 1kg + 300g gratuit,13.1
chorizo salchichon campofrio 120g,14.3
crenvursti piept de pui cris-tim per kg,22.8
parizer cu pasare carrefour discount 500g,2.85
sunculita taraneasca fox per kg,20.3
sunca lunch caroli primo 800g,9.1
crenvursti porc fox per kg,17.9
pastrama de vita feliata prodprosper junghiu 100g,6.9
sunca fina de curcan perutnina slim&fit 2x350g,12.75
piept de pui afumat feliat perutnina slim&fit 100g,5.75
sunca pulpa porc 170g sissi,6.3
salam de casa cris-tim 400g,8.5
specialitate curcan fouantre ifantis per kg,40.9
extra parizer de pui perutnina 800g,6.69
bacon traditional aldis per kg,33.9
sunculita de porc feliata drag de romania 80g,5.39
salam uscat cris-tim 350g,10.85
carnati oltenesti extra aldis per kg,29.9
carnati plescoi aldis per kg,32.99
ceafa de porc feliata drag de romania 80g,5.29
pachet muschi file si cascaval clasic ifantis 2x120g,10.95
pate fin cu piper verde pate grand-mere 170g,11.5
muschiulet taranesc traditionala angst per kg,58
crenvursti de pui fara membrana perutnina 200g,3.45
sunca piept curcan 170g sissi,8.7
salam banetean agricola 360g,14.28
pastrama vita aurora per kg,60.56
jambon piept curcan 170g sissi,9
piept de porc feliat drag de romania 80g,5.29
salam de vara uscat in vid 400g junghiu,13.98
salam banatean cris-tim 340g,12.2
sunca piept pui 170g sissi,5.99
salam de casa dublu afumat in vid caroli 600g,11.09
salam rustic cris-tim per kg,17.7
muschi file aldis per kg,35.9
salam de vara uscat caroli 330g,8.5
sunca praga cris-tim per kg,23.9
parizer taranesc sunca matache per kg,22.3
muschi file traditional aurora per kg,70.23
parizer taranesc pui cris-tim per kg,20.4
carnacior pikanten wurst-snack breu 18g,3.6
salam de vara caroli 500g,9.65
salam de casa fox 500g,7.93
salam rustic cris-tim 300g,7.29
hot dogs zimbo 220g,11.9
carnati semiafumati in vid cris-tim 450g,11.3
fuet campofrio 170g,11.5
salam sinaia cris-tim 500g,17.49
carnati oltenesti meda per kg,28.2
parizer ardei ifantis per kg,19
salchichon fin crud-uscat feliat espina 75g,6.99
ungarische szalami 250g zimbo,17.4
muschi file haiducesc fox per kg,33.1
bacon cris-tim per kg,40.5
campofrio muschi file afumat 100g,4.3
mini salam zimbo family picollini 150g,11.2
salam chorizo cris-tim 330g,14.1
crenvursti cu piept de pui caroli per kg,28.9
cotlet haiducesc aurora per kg,67.16
bacon plaka afumat ifantis per kg,43
cotlet haiducesc angst per kg,49
carnati semiafumati in vid aldis 400g,13.69
salam ardelenesc cris-tim 500g,12.25
ciolan presat aldis per kg,31.9
sunca fina de curcan perutnina slim&fit 350g,9.26
carnati cabanos in vid cris-tim 300g,9.15
muschi file afumat fox per kg,26
carnati semiafumati caroli per kg,22.5
muschi taranesc afumat angst per kg,54.7
chorizo de curcan feliat espina 100g,12.09
jambon presat aldis per kg,27.4
crenvursti piept de pui aldis per kg,26.99
crenvursti de pui voinicel per kg,21.9
sunculita taraneasca aldis per kg,29.9
party mix pepe 250g,8.5
crenvursti de curcan perutnina perfect poultry 350g,8
cotlet haiducesc aldis per kg,33.2
salam napoli cris-tim 490g,18.7
mini parizer cu pui cris-tim 500g,7.95
muschi tiganesc aurora per kg,59.82
pastrama taraneasca ifantis per kg,26.9
salam porc extra meda per kg,24
mortadella feliata casa modena 80g,8.35
salam de vara fox 500g,8.5
jambon superior afumat le signet per kg,51
salam sasesc gastro cris-tim per kg,28
pancetta cuburi beretta 150g,19.75
jambon mic dejun abraham 80g,7.6
mortadela cu masline feliata espina 150g,9.41
salam de vara uscat aldis 300g,8.95
carnati cabanos cris-tim per kg,21.42
pastrama porc aldis per kg,35.5
pastrama oaie afumata aurora per kg,54.41
sunca presata piept pui caroli per kg,23.55
carnati crud uscati picanti baranya panona 250g,14.3
jambon pulpa porc 170g sissi,6.45
salam de pui  agricola 500g,10.2
salam camembert zimbo 250g,16.9
crenvursti de curcan fox per kg,21.7
carnati espetec espina 130g,9.84
pastrama afumata traditionala aurora per kg,56.7
salam curcan cu masline aldis per kg,30.9
pastrama taraneasca de vita angst per kg,42.2
pachet salam ardelenesc cris-tim 560g,15.75
piept haiducesc aurora per kg,51.6
carnati subtiri afumati aldis per kg,38.9
sunca pui sissi per kg,31.8
toba taraneasca traditionala aurora per kg,32.5
piept rata afumat per kg,98.9
sunca praga reinert 500g,16.3
sunca de praga fox per kg,23.3
"chorizo extra, feliat foarte fin espina 150g",15.1
salam sinaia crud-uscat carrefour 350g,9.99
jambon piept pui aldis per kg,27.4
piept pui umplut aldis per kg,29.8
salam sibiu salsi per kg,65.9
salam de casa caroli per kg,17.9
muschi azuga condimentat aldis per kg,35.9
sunca porc sissi per kg,32.3
mini salami cu nuca zimbo 100g,11.2
salam milano cris-tim 350g,12.6
salam rustika panona 500g,24.5
salam banatean reinert 350g,15
parizer extra de pui perutnina 800g,10.3
salam palaciego campofrio per kg,37.9
carnaciori picanti cris-tim per kg,30
parizer de porc alpinia 1kg,10.39
salam vara gastro aldis per kg,29.9
jambon curcan aldis per kg,28.92
sunca praga aldis per kg,23.3
carnaciori semiafumati aldis per kg,30.9
mortadella cu masline espina per kg,20.22
sunca presata piept pui agricola per kg,25.14
salam rustika cu nuca panona 500g,27.25
salam ceahlaul junghiu 330g,12.4
salam cu sunca taranesc in vid aldis 500g,26.79
sunca curcan cu masline espina per kg,42.19
salam victoria voinicel per kg,29.9
prosciutto crudo san vincenzo per kg,77.88
extra parizer de pui perutnina 350g,3.65
jambon serrano abraham per kg,77.88
specialitate piept pui aldis per kg,29.8
salam uscat aldis per kg,36.9
speck alto adige feliat beretta 80g,12.83
salam ardelenesc carrefour 350g,10.49
salam lunch campofrio 1kg,13.1
jambon cocido extra espina per kg,43.95
salam sarbesc fox per kg,21.6
salam rustic aldis per kg,22.24
mortadella gran sigillo berett per kg,41.8
carnati gratar cris-tim per kg,21.6
salam porc cris-tim per kg,25
salam ardelenesc agricola 250g,10.6
salame 4 gnometta beretta 150g,19.75
salam spinata romana feliat casa modena 80g,11.6
salam toast cris-tim per kg,27.4
salam haiducesc aldis per kg,41.9
salami c90 piper espina per kg,47.91
carnati porc fox per kg,20.2
salam uscat agricola per kg,32.9
muschi file afumat cristim per kg,37.8
pancetta casa modena per kg,72.87
salam ardelenesc crud-uscat cris-tim 280g,10.5
salam banatean fox per kg,35.8
salam casa fox per kg,19.9
salam german zimbo per kg,40.7
negronetto snack negroni 120g,21.2
salam pietricica junghiu 220g,9.5
salam crud uscat panona 350g,21.9
sunca de casa aldis per kg,31.5
cotlet haiducesc campofrio per kg,30.19
salam rustic caroli per kg,18.5
salam uscat junghiu 330g,12.2
salam banatean aldis per kg,37.9
lapte pentru cafea meggle 200g,3.4
lapte semidegresat zuzu 1.5% grasime 1l,4.1
lapte uht pentru cafea delaco 75g,1.5
lapte de vaca integral napolact 3.5% grasime 1l,4.7
lapte uht integral carrefour discount 3.5% grasime 1l,2.75
iaurt numa' bun napolact 3.5% grasime 140g,0.95
branzica de casa covalact 180g,3.8
lapte uht pentru cafea meggle 100g,1.7
lapte uht semidegresat fulga 1.5% grasime 1l,4.39
lapte de consum integral zuzu 3.5% grasime 1l,4.79
lapte uht pentru cafea meggle 75g,1.6
lapte de vaca semidegresat napolact 1.5% grasime 1l,4.5
desert cu umplutura de lapte si glazura de ciocolata kinder pinguin 30g,1.65
desert felie de lapte kinder 28g,1.59
almette cu smantana hochland 150g,4.65
almette cu verdeata hochland 150g,4.52
lapte bio 1.5% 1l ladorna,6.1
iaurt natur covalact 2.8% grasime 140g,0.95
unt napolact 65% grasime 200g,5.79
branza fagaras covalact de tara 185g,2.99
iaurt danone cremosso 5.2% grasime 125g,1.45
lapte uht integral muller 3.5% grasime 1l,5.35
lapte de consum integral zuzu 3.5% grasime 1.8l,8.55
lapte uht partial degresat muller 1.5% grasime 1l,4.8
iaurt cu lapte de capra covalact 125g,1.47
branza dietetica de vaca lacteea 250g,4.87
budinca cu gust de ciocolata danone danette 125g,2.05
unt albalact 65% grasime 200g,5.99
sana napolact 3.5% grasime 330g,2.47
unt de masa covalact 65% grasime 200g,5.59
iaurt usurel napolact 0.1% grasime 330g,2.9
lapte semidegresat poiana florilor 1.5% grasime 1l,2.95
iaurt natural usor danone nutriday 2% grasime 100g,0.7
lapte bio 3.5% ladorna1l,6.75
lapte de vaca semidegresat napolact 1.5% grasime 1.4l,7.1
lapte uht degresat pentru cafea gold 10x7.5g,1.75
iaurt natural zuzu 3% grasime 140g,0.85
iaurt natural bio 3.8% grasime napolact 300g,3.85
lapte biologic integral uht andechser natur 1l,8.3
budinca cu gust de vanilie danone danette 125g,2.05
iaurt muller 3.5% grasime 125g,1.1
drojdie proaspata pakmaya 25g,0.48
lapte pentru cafea aromat milram irish 140g,3.3
iaurt grecesc cu rodie si zmeura olympus 125g,2.15
budinca bio de ciocolata andechser 150g,4.2
iaurt de baut in tihna napolact 2% grasime 330g,2.29
telemea de vaca hochland 150g,4.27
cascaval clasic hochland 250g,7.99
crema de branza proaspata philadelphia 200g,7.29
desert crema de zahar ars danone danette 125g,2.05
unt president 82% grasime 250g,12.4
lapte semidegresat zuzu 1.5% grasime 1.8l,7.65
desert cu nuci si caramel maxi king kinder 35g,2.35
iaurt covalact 2.8% grasime 900g,5.54
lapte uht integral prodlacta 3.5% grasime 1l,4.25
chefir covalact 3.3% grasime 900g,5.25
lapte semidegresat oke 1.5% grasime 1l,3.55
chefir fin bio semidegresat andechser 500g,6
lapte uht semidegresat prodlacta 1.5% grasime 1l,3.85
unt tartinabil president 40% grasime 250g,9.1
iaurt natural de vaca probiotic artesana 220ml,3.35
iaurt cu piersici danone cremosso 125g,1.49
branza topita cu smantana hochland family pack 280g,8.07
oua proaspete l 63-73g carrefour 20 bucati,9.5
mic-dejun clasic cu fulgi de cereale 3.3% activia,2.38
casvacal clasic hochland 450g,13.99
iaurt natural de vaca artesana 220ml,2.9
smantana napolact gospodar 15% grasime 300g,5.05
cascaval rucar covalact 400g,14.7
chefir bio 3.5% grasime napolact 330g,3.3
branza slaba proaspata de vaca covalact 200g,3.49
iaurt cu capsune danone casa buna 100g,0.64
iaurt bio olympus 150g,1.5
iaurt cu musli din cereale integrale activia 3.1% grasime 125g,1.39
budinca bio de vanilie andechser 150g,4.2
iaurt natural zuzu 3% grasime 1.12kg,5.34
branza topita cu smantana la vache qui rit kiri 100g,3.6
lapte de capra integral olympus 3.5% grasime 1l,10.51
cascaval clasic hochland 150g,6.4
cascaval delaco desenvis 350g,11.69
iaurt de baut natural danone nutriday 490g,2.69
iaurt cu capsuni danone cremosso 125g,1.49
iaurt bio natural andechser 0.1% grasime 150g,2.6
lapte biologic de capra uht andechser natur 1l,12.39
telemea de vaca natur hochland 200g,5.49
iaurt bio natur andechser 150g,5.42
lapte bio 0.1% 1l ladorna,6.25
lapte integral raraul 3.5% grasime 1l,4.7
branza grasa de vaca lacteea 250g,5.9
smantana albalact 12% grasime 200g,2.39
branza de casa usoara covalact de tara 180g,3.6
lapte semidegresat minusl 1.5% grasime 1l,6.7
pachet branzica de vaci cu piure de banane si zmeura danone danonino 4x50g,3.55
lapte bio uht andechser natur 1l,7.45
iaurt muller choco balls 150g,1.99
bautura din soia imbogatit cu calciu si vitamine alpro original 1l,10.25
pachet iaurt mixt 3%+0.1% grasime 6+2 zuzu,5.22
iaurt grecesc olympus 10% grasime 350g,4.85
iaurt cu bucati de mure si zmeura muller 500g,4.8
iaurt bio andechser 400g,7.9
branza italieneasca galbani 125g,6.34
cascaval light hochland 250g,9.7
branza bio proaspata andechser natur 250g,5.75
iaurt cu ciocolata si stracciatella danone cremosso 125g,1.49
iaurt cu capsuni si fulgi de cereale danone activia mic dejun 168g,2.38
mini branzica babybel la vache qui rit 80g,5.8
branza topita felii cu cascaval apetito delaco 400g,8.99
iaurt cu visine danone cremosso 125g,1.49
perle branza bio andechser natur 200g,7.15
crema de branza proaspata philadelphia light 125g,6.1
lapte eco 3.8% napolact 1.4l,9.15
iaurt natural zuzu 3% grasime 400g,2.19
cascaval dalia solomonescu 400g,10.9
drojdie proaspata budafok 50g,1
lapte uht semidegresat olympus 1.5% grasime 1.5l,5.98
iaurt grecesc olympus 2% grasime 350g,4.65
iaurt cremos covalact 5% grasime 125g,1.3
branza cu smantana fagaras lacteea 200g,3.65
smantana 15% grasime napoloact gospodar 400g,4.83
almette cu iaurt hochland 150g,4.52
iaurt cu capsuni danone nutriday delicios 125g,1.2
iaurt natural eco 3.8% napolact 140g,1.95
smantana albalact 12% grasime 900g,8.12
smantana casa buna 12% grasime 850g,6.34
iaurt cu lapte de capra covalact de tara 300g,2.79
iaurt cu bucati de piersici si caise muller 500g,4.8
iaurt de baut semidegresat covalact 1.5% grasime 370g,2.19
stelute de branza lacteea slim 200g,4.9
cascaval sofia delaco 250g,10.45
iaurt dietetic covalact 0.1% grasime 375g,2.3
branza fagaras prodlacta 200g,2.79
iaurt cu bucati de mure si zmeura muller 125g,1.51
iaurt de baut bio 2.8% grasime napolact 330g,3.35
crema de branza natur hochland creme clasic 200g,4.8
iaurt cu stracciatella muller 125g,1.51
branza de burduf tip 2 napolact 400g,12.49
lapte integral olympus 3.5% grasime 1l,4.55
bautura din migdale alpro almond original 1l,8.79
branza topita feliata hochland cascaval 280g,8.23
lapte integral prodlacta 3.5% grasime 1l,4.2
iaurt numa bun napolact 3.5% grasime 900g,5.2
iaurt cu piersici si musli din cereale integrale activia 125g,1.39
chefir napolact 3.5% grasime 900g,6
pachet branzica de vaci cu piure de banane si afine danone danonino 4x50g,3.55
branza topita la vache qui rit 240g,7.2
branza cu mucegai paladin 100g,6.49
cascaval afumat delaco 450g,18.95
lapte condensat maresi 250g,5.05
branza fagaras napolact 175g,4.25
iaurt natural zuzu 3% grasime 850g,5.2
almette cu ceapa verde hochland 150g,4.52
"iaurt napolact cedra merisoare-mure, 4.8% 140g",1.9
telemea de vaca olympus 350g,8.7
drojdie proaspata cub dr.oetker 42g,0.9
cascaval penteleu covalact 350g,13.2
smantana albalact 20% grasime 200g,3.2
iaurt cu cirese muller pezzi di frutta 500g,4.8
perle de branza cu smantana ladorna 300g,7.5
oua proaspete xl peste 73g toneli jumbo 6 bucati,6.1
salata de vinete cu ceapa carrefour produse de post 250g,6.25
lapte uht integral olympus 3.5% grasime 1.5l,6.3
iaurt danone nutriday 1.8% grasime 360g,2.1
branza topita felii cu smantana apetito 400g,8.99
iaurt cu biscuiti danone disney 125g,1.55
unt sarat light lurpak 60% grasime 200g,9.6
iaurt de capra rupi 350ml,4.5
crema de branza cu smantana delaco 140g,3.99
desert de orez cu lapte si ciocolata muller 200g,3.2
desert de orez cu lapte si cirese muller 200g,3.2
lapte uht semidegresat solomonescu 1.8% grasime 1l,2.9
unt sarat 80% grasime lurpak 200g,10.6
budinca de vanilie si ciocolata paula 500g,8
branza topita feliata cu smantana hochland 280g,8.39
lapte integral milli 3.5% grasime 1.5l,8
specialitate alba daneza arla danish white 500g,10.4
lapte integral ladorna 3.5% grasime 1l,5
iaurt bio mango si vanile andechser 150g,5.09
pachet iaurt de baut cu capsuni danone danonino 4x100g,5.85
desert de cacao si frisca zott liegeois 175g,1.9
chefir usor covalact 0.7% grasime 900g,5.49
lapte semidegresat milli 1.5% grasime 1.5l,7.2
halloumi mediterranea 200g,12.9
crema de branza natur philadelphia original 125g,5.24
telemea de vaca president 350g,10
lapte semidegresat milli 1.5% grasime 1l,4.21
telemea de capra olympus 150g,6.35
"bautura soia calciu, uht joya natur 1l",7.98
smantana 24% grasime muller 150g,2.8
oua proaspete xl aprox. 73g carrefour 6 bucati,3.65
branza telemea de vaca olympus per kg,22.5
perle de branza cu smantana hochland 175g,4.4
iaurt dietetic covalact 0.1% grasime 140g,0.95
branza topita natur la vache qui rit 120g,3.85
branza de capra rulou clasic  lacolline 100g,7.3
iaurt natural oke 2% grasime 900g,5.3
iaurt cu caise danone nutriday delicios 125g,1.2
smantana bio proaspata andechser 200g,4.65
iaurt fructe light jogobella 155g,2.1
unt milli perfecto 82% grasime 200g,6.95
iaurt nat 10% 125g zuzu max,1.4
cheddar maturata prodlacta 350g,11.19
iaurt cu caise danone casa buna 100g,0.64
iaurt de baut multifruct danone actimel 4x100ml,6.48
oua proaspete albe l 63-73g toneli best 15 bucati,10.35
cascaval rucar therezia 480g,14.95
branza de vaci delaco 4.4% grasime 250g,5
branza topita mixtett classico hochland 140g,4.25
branza grana padano zarpellon 200g,16.65
lapte cu cacao si gust de ciocolata zuzu 450ml,3.2
lapte bio bio+ 1l,9.65
sana usoara napolact 0.9% grasime 330g,2.15
crema de branza ladorna tartina 200g,5.25
telemea de oaie president 200g,7.1
branza de vaci prodlacta 500g,7.15
"iaurt natural din lapte de vaca, bivolita si oaie napolact 141g",1.7
iaurt cu capsuni muller 500g,4.8
lapte semidegresat olympus 1.5% grasime 1l,4.2
iaurt de baut covalact 1.5% grasime 900g,5.1
iaurt cu banane zuzu 125g,1.3
branza zanetti 200g,24.4
stelute de branza si smantana lacteea 200g,4.85
iaurt din lapte de vaca bivolita si oaie napolact 300g,2.75
lapte semidegresat zuzu 500ml,2.6
"branza bio, felii andechser natur 150g",12.45
lapte covasit covalact 3.3% grasime 900g,5.38
iaurt cu chantily si cuburi de ciocolata muller mix 150g,1.99
unt de masa unicarm premio 65% grasime 200g,3.72
unt president 82% grasime 125g,6.7
feta din lapte de capra si oaie olympus 400g,17.49
lapte semidegresat prodlacta 1.5% grasime 1l,3.75
smantana covalact 15% grasime 300g,4.5
mozzarella gourmet delaco 350g,11.79
margarina unirea original 60% grasime 500g,3.99
oua proaspete l 63-73g agricola 20 bucati,14.8
iaurt cu mure si zmeura 150g muller mix,1.99
unt nesarat lurpak 82% grasime 200g,10.6
sana bio 3.5% grasime napolact 330g,9.9
crema de branza cu verdeata hochland creme 200g,4.8
branza grasa raraul per kg,13.2
desert de vanilie si frisca zott liegeois 175g,1.9
oua proaspete l 53-63g carrefour 10 bucati,5.35
iaurt cu gust de zmeura danone casa buna 100g,0.59
oua proaspete m(53-63g) carrefour discount 10 bucati,4.39
